Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8438046_2	(1.0, 26.897325603141947)	(2.0, 2.8277538806807554)	(3.0, 1.4138769403403777)	(4.0, 0.8976996446605573)	(5.0, 0.7293809612867028)	(6.0, 0.5835047690293623)	(7.0, 0.5760239386571909)	(8.0, 0.5086964653076491)	(9.0, 0.8079296801945015)	('>10', 9.287450907050683)	('>50', 6.609313633813353)	('>100', 14.142509818589863)	('>500', 4.877501402655695)	('>1k', 0.0)	('>5k', 29.841032354591356)	('>10k+', 0.0)
SRR8438047	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438047_1	(1.0, 5.7697403285638575)	(2.0, 1.4970853206147323)	(3.0, 0.9042130365659777)	(4.0, 0.5299417064122947)	(5.0, 0.5796237413884473)	(6.0, 0.37758346581875996)	(7.0, 0.4868839427662957)	(8.0, 0.4239533651298357)	(9.0, 0.7154213036565978)	('>10', 9.641626921038686)	('>50', 1.440779014308426)	('>100', 10.585585585585585)	('>500', 4.908585055643879)	('>1k', 5.362347641759406)	('>5k', 20.485559088500267)	('>10k+', 36.29107048224695)
SRR8438047_2	(1.0, 12.642421833598306)	(2.0, 2.2125066242713305)	(3.0, 1.440779014308426)	(4.0, 0.7286698463169051)	(5.0, 0.7452305246422893)	(6.0, 0.7551669316375199)	(7.0, 0.5332538420773715)	(8.0, 0.45045045045045046)	(9.0, 0.3577106518282989)	('>10', 7.872946475887653)	('>50', 2.4476682564917858)	('>100', 13.92421833598304)	('>500', 8.277027027027026)	('>1k', 0.0)	('>5k', 47.61195018547959)	('>10k+', 0.0)
SRR8438048	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438048_1	(1.0, 2.774763248380722)	(2.0, 0.7196792286866425)	(3.0, 0.3701207461817019)	(4.0, 0.2833022995464879)	(5.0, 0.25131655604930375)	(6.0, 0.1644981094140897)	(7.0, 0.13593940986303246)	(8.0, 0.06397148699436823)	(9.0, 0.08224905470704486)	('>10', 2.2732724842641567)	('>50', 3.172300346131438)	('>100', 5.8134088806132125)	('>500', 4.4700076537314795)	('>1k', 2.971247101291995)	('>5k', 0.0)	('>10k+', 76.45392339414433)
SRR8438048_2	(1.0, 7.124824363997762)	(2.0, 1.1651949416831355)	(3.0, 0.6237219981950902)	(4.0, 0.4797861524577617)	(5.0, 0.37126309416374415)	(6.0, 0.2741635156901495)	(7.0, 0.23189664035458482)	(8.0, 0.21019202869578132)	(9.0, 0.1336547138989479)	('>10', 3.6326665828944815)	('>50', 1.9876854887535842)	('>100', 8.443093935274563)	('>500', 5.543814756851232)	('>1k', 1.2874261757616605)	('>5k', 0.0)	('>10k+', 68.49061561132753)
SRR8438049	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438049_1	(1.0, 4.697927643133123)	(2.0, 1.0872688954880736)	(3.0, 0.6633777181722388)	(4.0, 0.44384838905386853)	(5.0, 0.37918702302263946)	(6.0, 0.3783887345531181)	(7.0, 0.3073410607657183)	(8.0, 0.26822492575917234)	(9.0, 0.3520452150589137)	('>10', 6.110099945716383)	('>50', 3.7248139987866016)	('>100', 5.870613404859981)	('>500', 2.1450011176038575)	('>1k', 8.133761215952996)	('>5k', 16.219625123734712)	('>10k+', 49.2184755883386)
SRR8438049_2	(1.0, 10.472746431650542)	(2.0, 1.8823642111313346)	(3.0, 1.0681099722195613)	(4.0, 0.7280390842034677)	(5.0, 0.6665708720503241)	(6.0, 0.4454449659929112)	(7.0, 0.38557333077881023)	(8.0, 0.42149631190727077)	(9.0, 0.4167065810901427)	('>10', 6.7607050483762805)	('>50', 3.1165181850113357)	('>100', 7.464795478494109)	('>500', 3.6354056902002108)	('>1k', 20.08813104703516)	('>5k', 0.0)	('>10k+', 42.44739278985855)
SRR8438050	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438050_1	(1.0, 4.8355832467982)	(2.0, 1.1284181377639322)	(3.0, 0.6853582554517134)	(4.0, 0.4984423676012461)	(5.0, 0.46728971962616817)	(6.0, 0.3322949117341641)	(7.0, 0.5572862582208377)	(8.0, 0.35998615437867776)	(9.0, 0.24922118380062305)	('>10', 6.517826237452405)	('>50', 2.0214607130494984)	('>100', 5.057113187954309)	('>500', 0.0)	('>1k', 4.378677743163725)	('>5k', 0.0)	('>10k+', 72.9110418830045)
SRR8438050_2	(1.0, 7.327795084804431)	(2.0, 1.3430252682589132)	(3.0, 0.8411214953271028)	(4.0, 0.4153686396677051)	(5.0, 0.5711318795430945)	(6.0, 0.5607476635514018)	(7.0, 0.629975770162686)	(8.0, 0.47075112495673244)	(9.0, 0.2803738317757009)	('>10', 8.078920041536863)	('>50', 2.2637590861889927)	('>100', 2.9975770162686053)	('>500', 0.0)	('>1k', 3.745240567670474)	('>5k', 0.0)	('>10k+', 70.47421253028729)
SRR8438051	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438051_1	(1.0, 2.980072942544532)	(2.0, 0.6279401659707173)	(3.0, 0.34885564776150957)	(4.0, 0.2325704318410064)	(5.0, 0.1479993657170041)	(6.0, 0.13319942914530367)	(7.0, 0.06659971457265183)	(8.0, 0.06765685289920186)	(9.0, 0.08562820445055236)	('>10', 2.19461916591786)	('>50', 2.19461916591786)	('>100', 6.889370474126539)	('>500', 3.208414821079338)	('>1k', 1.3954225910460383)	('>5k', 0.0)	('>10k+', 79.42703102700989)
SRR8438051_2	(1.0, 7.692795602304561)	(2.0, 1.2664517152069348)	(3.0, 0.6659971457265182)	(4.0, 0.49474073682541364)	(5.0, 0.34356995612875946)	(6.0, 0.20931338865690574)	(7.0, 0.2145990802896559)	(8.0, 0.2621703049844072)	(9.0, 0.19979914371795549)	('>10', 4.2190390612611655)	('>50', 2.7496167873566257)	('>100', 5.962260161742164)	('>500', 3.0709868386278343)	('>1k', 4.487552196204874)	('>5k', 8.77107669538559)	('>10k+', 59.39003118558064)
SRR8438052	(1.0, 97.87234042553192)	(2.0, 2.127659574468085)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438052_1	(1.0, 6.295709710343857)	(2.0, 1.740048569316862)	(3.0, 0.7876676169359097)	(4.0, 0.532150776053215)	(5.0, 0.3589906028930419)	(6.0, 0.32942667089008554)	(7.0, 0.31534860803153486)	(8.0, 0.23651145602365115)	(9.0, 0.29775102945834653)	('>10', 5.6636046879949316)	('>50', 3.815858937810157)	('>100', 6.8320839052546365)	('>500', 1.8484496533277022)	('>1k', 5.565058247985077)	('>5k', 8.283532185971211)	('>10k+', 57.09780734170978)
SRR8438052_2	(1.0, 15.414774926970049)	(2.0, 2.501671769964453)	(3.0, 1.2796959138422552)	(4.0, 0.9150740858057931)	(5.0, 0.7003836272128955)	(6.0, 0.5025868440502587)	(7.0, 0.5222961320522296)	(8.0, 0.44486678633020094)	(9.0, 0.3927779537535635)	('>10', 7.00524407841481)	('>50', 3.1774187871748847)	('>100', 7.031992397846057)	('>500', 2.820539893710625)	('>1k', 14.369478759722663)	('>5k', 3.8925843803892586)	('>10k+', 39.02861366276)
SRR8438053	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
