Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8438059_2	(1.0, 14.358579339634424)	(2.0, 2.6189782237581714)	(3.0, 1.548902860473831)	(4.0, 1.0076196027813633)	(5.0, 0.7182412457842361)	(6.0, 0.5246283882250072)	(7.0, 0.5974934421451472)	(8.0, 0.4996460840238165)	(9.0, 0.35599783486696923)	('>10', 7.151184577590873)	('>50', 3.893075738018903)	('>100', 14.32943331806637)	('>500', 5.781321563892243)	('>1k', 9.15185077236957)	('>5k', 11.273264770787359)	('>10k+', 26.18978223758171)
SRR8438060	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438060_1	(1.0, 11.5071008153788)	(2.0, 3.3695123926777906)	(3.0, 2.8025271342945084)	(4.0, 2.5703331713375452)	(5.0, 2.0789459474053675)	(6.0, 1.4255629353636805)	(7.0, 1.2473675684432206)	(8.0, 1.3391651817052757)	(9.0, 1.0205734650899076)	('>10', 13.764242129704627)	('>50', 5.918246125600735)	('>100', 34.64009935741671)	('>500', 3.3803121118850905)	('>1k', 14.936011663696744)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438060_2	(1.0, 39.748366542469896)	(2.0, 3.1967168853609804)	(3.0, 1.8143528268265023)	(4.0, 1.4471623737782817)	(5.0, 1.2419677088395702)	(6.0, 1.0043738862789566)	(7.0, 0.7559803445110427)	(8.0, 0.691182029267239)	(9.0, 0.5345861007613802)	('>10', 9.7251471461742)	('>50', 7.462605972244722)	('>100', 12.997462065986284)	('>500', 6.420433068740213)	('>1k', 12.959663048760733)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438061	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438061_1	(1.0, 6.524457834749738)	(2.0, 1.5859932353693547)	(3.0, 0.8697382258477107)	(4.0, 0.659409373845323)	(5.0, 0.45476508541056765)	(6.0, 0.40928857686951087)	(7.0, 0.4675553534377398)	(8.0, 0.3410738140579257)	(9.0, 0.3453372367336498)	('>10', 7.6130517579512835)	('>50', 3.6907028962851376)	('>100', 5.934684364607907)	('>500', 1.126964727283063)	('>1k', 15.886934030639798)	('>5k', 22.849103260097205)	('>10k+', 31.240940226814086)
SRR8438061_2	(1.0, 13.15123781371685)	(2.0, 1.9128556405082)	(3.0, 1.1596509677969473)	(4.0, 0.903845607253503)	(5.0, 0.7034647414944717)	(6.0, 0.6736207827644033)	(7.0, 0.6068271608447261)	(8.0, 0.45476508541056765)	(9.0, 0.4988204530597163)	('>10', 7.091493050621038)	('>50', 2.6760082994628087)	('>100', 8.172981269363044)	('>500', 3.7958673222863317)	('>1k', 18.42509166358753)	('>5k', 12.082539863002017)	('>10k+', 27.690930278827842)
SRR8438062	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438062_1	(1.0, 8.447488584474886)	(2.0, 3.22935577928151)	(3.0, 1.9227595312757881)	(4.0, 1.3423557242669308)	(5.0, 1.0590306431204268)	(6.0, 0.9242449249050998)	(7.0, 0.8664796170985312)	(8.0, 1.0342740826318975)	(9.0, 0.4951312097705892)	('>10', 10.606810804863288)	('>50', 8.131154756010343)	('>100', 31.350057765307803)	('>500', 7.3719535676954395)	('>1k', 4.16460361995929)	('>5k', 19.054299389338176)	('>10k+', 0.0)
SRR8438062_2	(1.0, 25.70006051603675)	(2.0, 3.3613907685536666)	(3.0, 1.7082026737085327)	(4.0, 1.0012653353138583)	(5.0, 0.9077405512460801)	(6.0, 0.5116355834296088)	(7.0, 0.6739285910766353)	(8.0, 0.5281399570886285)	(9.0, 0.643670572701766)	('>10', 9.528525059140671)	('>50', 9.20118831490345)	('>100', 20.853276118171316)	('>500', 6.995103702481158)	('>1k', 3.3256312922924574)	('>5k', 15.060240963855422)	('>10k+', 0.0)
SRR8438063	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438063_1	(1.0, 3.4743495288688973)	(2.0, 0.9952563754572362)	(3.0, 0.5118461359494358)	(4.0, 0.3464009202890121)	(5.0, 0.24558274199594143)	(6.0, 0.2559230679747179)	(7.0, 0.18095570462858843)	(8.0, 0.19646619359675313)	(9.0, 0.24429020124859435)	('>10', 5.780242222136053)	('>50', 5.19213618209314)	('>100', 8.46355681362855)	('>500', 2.617395013377797)	('>1k', 10.781082373621828)	('>5k', 0.0)	('>10k+', 60.714516525133455)
SRR8438063_2	(1.0, 8.410562642987319)	(2.0, 1.4321351480605427)	(3.0, 0.7600139594400713)	(4.0, 0.5170162989388241)	(5.0, 0.3102097793632944)	(6.0, 0.3567412462677886)	(7.0, 0.36191140925717685)	(8.0, 0.24816782349063554)	(9.0, 0.20939160107022373)	('>10', 6.465288818229994)	('>50', 5.497175798467047)	('>100', 7.903886670027273)	('>500', 2.908216681530885)	('>1k', 8.983158194062067)	('>5k', 0.0)	('>10k+', 55.63612392880686)
SRR8438064	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438064_1	(1.0, 5.2298608182201605)	(2.0, 1.687051876845213)	(3.0, 1.180936313791649)	(4.0, 0.8224377899620413)	(5.0, 0.9138197666244904)	(6.0, 0.9805989034162801)	(7.0, 0.7749894559257697)	(8.0, 0.5201743286939408)	(9.0, 0.6800927878532265)	('>10', 9.03275692394208)	('>50', 5.764093912554478)	('>100', 12.832138338253902)	('>500', 2.4778574441164065)	('>1k', 14.477013918177983)	('>5k', 14.659777871502882)	('>10k+', 27.966399550119498)
SRR8438064_2	(1.0, 17.392450442851118)	(2.0, 1.999859412343596)	(3.0, 1.159848165331084)	(4.0, 0.8013496415014763)	(5.0, 0.7644453816954871)	(6.0, 0.5061155630535639)	(7.0, 0.5166596372838465)	(8.0, 0.3795866722901729)	(9.0, 0.4270350063264446)	('>10', 8.17692956558414)	('>50', 5.349360326163363)	('>100', 9.445733164628145)	('>500', 4.948685505412625)	('>1k', 11.46492337972726)	('>5k', 10.55110361310277)	('>10k+', 26.11591452270491)
SRR8438065	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438065_1	(1.0, 2.574628242500277)	(2.0, 0.7582746024131951)	(3.0, 0.4704623445629313)	(4.0, 0.2693627541419136)	(5.0, 0.18449503708350246)	(6.0, 0.17158038448765728)	(7.0, 0.16789048374598722)	(8.0, 0.10331722076676138)	(9.0, 0.11623187336260654)	('>10', 3.404855909376038)	('>50', 3.2710970074904986)	('>100', 6.447179070882993)	('>500', 3.183461864875835)	('>1k', 5.900151285930408)	('>5k', 0.0)	('>10k+', 72.9770119183794)
SRR8438065_2	(1.0, 9.530091140548318)	(2.0, 1.2361167484594664)	(3.0, 0.6973912401756392)	(4.0, 0.46861739419209625)	(5.0, 0.35054057045865467)	(6.0, 0.34316076897531456)	(7.0, 0.23892107302313567)	(8.0, 0.23615364746688317)	(9.0, 0.3071842367440316)	('>10', 4.159440611047563)	('>50', 3.2415778015571384)	('>100', 8.345633002472233)	('>500', 1.7979041363787314)	('>1k', 3.9140622117265043)	('>5k', 11.815062174827498)	('>10k+', 53.31814324194679)
SRR8438066	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438066_1	(1.0, 2.6116817784739585)	(2.0, 0.641624243154502)	(3.0, 0.35695996626201165)	(4.0, 0.19278850498539024)	(5.0, 0.13178901707985663)	(6.0, 0.14459137873904268)	(7.0, 0.16341838117902222)	(8.0, 0.10241889327348858)	(9.0, 0.10844353405428202)	('>10', 1.6793686176461728)	('>50', 1.0769045395668282)	('>100', 8.361448323643703)	('>500', 1.3992228213392777)	('>1k', 2.2366478898695665)	('>5k', 0.0)	('>10k+', 80.7926921107329)
SRR8438066_2	(1.0, 10.889538211284153)	(2.0, 1.4489261077808235)	(3.0, 0.8404373889206855)	(4.0, 0.5813778353465675)	(5.0, 0.41419405367954937)	(6.0, 0.46540350031629363)	(7.0, 0.25830647347651897)	(8.0, 0.3012320390396723)	(9.0, 0.2643311142573124)	('>10', 3.4784769708106156)	('>50', 2.1033527125945115)	('>100', 7.170075609241799)	('>500', 2.110130433472904)	('>1k', 5.0765129379160765)	('>5k', 0.0)	('>10k+', 64.59770461186251)
SRR8438067	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438067_1	(1.0, 4.933953720763201)	(2.0, 1.9548449551884581)	(3.0, 1.0305093214252257)	(4.0, 0.836898479218062)	(5.0, 0.5152546607126128)	(6.0, 0.7681978577897136)	(7.0, 0.4371857727258533)	(8.0, 0.3747306623364457)	(9.0, 0.3372575961028011)	('>10', 6.030040908097305)	('>50', 4.615432657777223)	('>100', 25.231864597320673)	('>500', 7.441526402897917)	('>1k', 10.189551260031852)	('>5k', 0.0)	('>10k+', 35.30275114761265)
SRR8438067_2	(1.0, 14.705055741186024)	(2.0, 2.2608749960965553)	(3.0, 1.2085063860350373)	(4.0, 0.9992817662305219)	(5.0, 0.6557786590887799)	(6.0, 0.29978452986915655)	(7.0, 0.5683415045436093)	(8.0, 0.549604971426787)	(9.0, 0.2810479967523343)	('>10', 6.838834587640133)	('>50', 7.5071042688067955)	('>100', 20.66639602785498)	('>500', 2.2983480623302)	('>1k', 7.575804890235144)	('>5k', 0.0)	('>10k+', 33.58523561190395)
SRR8438068_1	(1.0, 11.105414273995077)	(2.0, 4.4298605414273995)	(3.0, 2.5840853158326498)	(4.0, 1.1484823625922889)	(5.0, 0.8716160787530763)	(6.0, 0.8613617719442166)	(7.0, 0.4306808859721083)	(8.0, 0.7383100902378998)	(9.0, 0.18457752255947496)	('>10', 17.063166529942574)	('>50', 10.469647251845775)	('>100', 25.820344544708778)	('>500', 24.29245283018868)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438068_2	(1.0, 17.96554552912223)	(2.0, 4.122231337161608)	(3.0, 2.276456111566858)	(4.0, 1.4766201804757997)	(5.0, 0.9741591468416735)	(6.0, 0.9228876127973749)	(7.0, 0.8613617719442166)	(8.0, 0.8203445447087777)	(9.0, 0.8305988515176375)	('>10', 21.554552912223134)	('>50', 13.084495488105006)	('>100', 29.604183757178014)	('>500', 5.5065627563576705)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438069	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438069_1	(1.0, 4.85921889191644)	(2.0, 1.2640024220405692)	(3.0, 0.6698455949137148)	(4.0, 0.3330305782621859)	(5.0, 0.4541326067211626)	(6.0, 0.4087193460490463)	(7.0, 0.26491068725401146)	(8.0, 0.15137753557372086)	(9.0, 0.10217983651226158)	('>10', 5.7447774750227065)	('>50', 1.1580381471389645)	('>100', 0.4238570996064184)	('>500', 2.83075991522858)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 81.33514986376021)
SRR8438069_2	(1.0, 7.644565546472903)	(2.0, 1.5213442325158948)	(3.0, 0.7720254314259765)	(4.0, 0.5752346351801393)	(5.0, 0.5298213745080229)	(6.0, 0.6357856494096277)	(7.0, 0.4768392370572207)	(8.0, 0.2119285498032092)	(9.0, 0.3405994550408719)	('>10', 5.998334847108689)	('>50', 1.0104450499545867)	('>100', 0.0)	('>500', 2.2782319103844992)	('>1k', 0.0)	('>5k', 36.69391462306994)	('>10k+', 41.31092945806842)
SRR8438070	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438070_1	(1.0, 3.4649542933503628)	(2.0, 0.8963943188940529)	(3.0, 0.4115372334764253)	(4.0, 0.27908846867941484)	(5.0, 0.26016721656555625)	(6.0, 0.17029126902472771)	(7.0, 0.1407268125968236)	(8.0, 0.17975189508165704)	(9.0, 0.1170752474545003)	('>10', 3.883586996369485)	('>50', 3.1326498031007204)	('>100', 6.978394295242488)	('>500', 2.225612279892622)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 77.85976987027117)
SRR8438070_2	(1.0, 11.887276640531686)	(2.0, 1.322122491455872)	(3.0, 0.7201901585837442)	(4.0, 0.6054800676434763)	(5.0, 0.4493797377041426)	(6.0, 0.3192961294213645)	(7.0, 0.2814536251936472)	(8.0, 0.2270550253663036)	(9.0, 0.20222088196686416)	('>10', 4.601411998438996)	('>50', 2.6998261609962038)	('>100', 7.697401875569115)	('>500', 1.9524367024987876)	('>1k', 10.644386892302599)	('>5k', 0.0)	('>10k+', 56.390061612327194)
SRR8438071	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438071_1	(1.0, 3.6926328502415457)	(2.0, 1.0507246376811594)	(3.0, 0.4830917874396135)	(4.0, 0.35426731078904994)	(5.0, 0.2616747181964573)	(6.0, 0.30193236714975846)	(7.0, 0.232487922705314)	(8.0, 0.23349436392914652)	(9.0, 0.19021739130434784)	('>10', 5.289855072463768)	('>50', 2.2111513687600644)	('>100', 2.7657004830917877)	('>500', 2.160829307568438)	('>1k', 14.527979066022546)	('>5k', 6.983695652173913)	('>10k+', 59.260265700483096)
SRR8438071_2	(1.0, 11.978663446054751)	(2.0, 1.680756843800322)	(3.0, 0.8937198067632851)	(4.0, 0.640096618357488)	(5.0, 0.5485104669887279)	(6.0, 0.4408212560386473)	(7.0, 0.47906602254428343)	(8.0, 0.37842190016103056)	(9.0, 0.4166666666666667)	('>10', 5.237520128824476)	('>50', 2.775764895330113)	('>100', 4.125402576489533)	('>500', 2.7657004830917877)	('>1k', 19.321658615136876)	('>5k', 6.077898550724638)	('>10k+', 42.23933172302738)
SRR8438072	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438072_1	(1.0, 2.4845233182005777)	(2.0, 0.5868007353768806)	(3.0, 0.26563613852099205)	(4.0, 0.16508460586050352)	(5.0, 0.15758076013957154)	(6.0, 0.10355307094886128)	(7.0, 0.0998011480883953)	(8.0, 0.1020523018046749)	(9.0, 0.08779499493490414)	('>10', 2.8777248339774135)	('>50', 2.5340486999587286)	('>100', 3.7144036318613285)	('>500', 0.9950099425955803)	('>1k', 3.281431733763554)	('>5k', 6.434547705699171)	('>10k+', 76.11000637826886)
SRR8438072_2	(1.0, 7.771733013169249)	(2.0, 0.9785014820095299)	(3.0, 0.6573368851536412)	(4.0, 0.43222151352568194)	(5.0, 0.3001538288372791)	(6.0, 0.3106592128465839)	(7.0, 0.2626346002326192)	(8.0, 0.23411998649307772)	(9.0, 0.15532960642329194)	('>10', 3.474280568791506)	('>50', 1.6425918283120098)	('>100', 6.140396953438637)	('>500', 3.5778336397403665)	('>1k', 4.162383221400968)	('>5k', 5.346490076164034)	('>10k+', 64.55333358346152)
SRR8438073	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438073_1	(1.0, 2.7568408485184692)	(2.0, 0.7139325381990087)	(3.0, 0.38349754585689994)	(4.0, 0.3087275840860578)	(5.0, 0.1869249044271053)	(6.0, 0.2604888990726113)	(7.0, 0.2785784059526537)	(8.0, 0.3955572171102616)	(9.0, 0.28219630732866224)	('>10', 6.1154592925796845)	('>50', 2.604888990726113)	('>100', 3.3139976604237766)	('>500', 2.288925603888038)	('>1k', 5.481120584652863)	('>5k', 0.0)	('>10k+', 74.6288636171778)
SRR8438073_2	(1.0, 7.129677644987398)	(2.0, 1.085370412802547)	(3.0, 0.6584580504335451)	(4.0, 0.5788642201613584)	(5.0, 0.38590948010757226)	(6.0, 0.4558555733770698)	(7.0, 0.21948601681118174)	(8.0, 0.35696626909950435)	(9.0, 0.31475741971273863)	('>10', 6.2770588873747295)	('>50', 4.2184730044259)	('>100', 5.174804934817477)	('>500', 0.6210730695481241)	('>1k', 8.146307931645785)	('>5k', 11.234789739631697)	('>10k+', 53.14214734506337)
SRR8438074	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438074_1	(1.0, 1.8590384993033282)	(2.0, 0.45260293443803357)	(3.0, 0.25809588823325885)	(4.0, 0.1421397645342585)	(5.0, 0.14026950447459718)	(6.0, 0.11782638375866165)	(7.0, 0.09818865313221804)	(8.0, 0.0897724828637422)	(9.0, 0.04208085134237916)	('>10', 1.3905383543581735)	('>50', 2.6127533033468304)	('>100', 5.477056584718105)	('>500', 1.9273029914809656)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 85.39233380401545)
SRR8438074_2	(1.0, 7.848546340368628)	(2.0, 0.9182976892936963)	(3.0, 0.448862414318711)	(4.0, 0.3590899314549688)	(5.0, 0.313268559993267)	(6.0, 0.16271262519053273)	(7.0, 0.16364775522036337)	(8.0, 0.13465872429561332)	(9.0, 0.19357191617494413)	('>10', 2.586569662511572)	('>50', 1.766460626350094)	('>100', 6.431824345175197)	('>500', 2.0432591151799655)	('>1k', 1.5710184501154887)	('>5k', 0.0)	('>10k+', 75.05821184435696)
SRR8438075	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438075_1	(1.0, 15.641209799696751)	(2.0, 4.7562046125608495)	(3.0, 3.1122815417763947)	(4.0, 2.2663793791397335)	(5.0, 1.715744952517756)	(6.0, 1.1491501077328226)	(7.0, 1.4523980528289842)	(8.0, 1.212991780384646)	(9.0, 1.0055063442662198)	('>10', 11.762828186098476)	('>50', 15.130476418482164)	('>100', 35.20070225839917)	('>500', 5.594126566116032)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438075_2	(1.0, 34.89745431330301)	(2.0, 3.2240044689170855)	(3.0, 1.6040220253770647)	(4.0, 1.1172292714069108)	(5.0, 1.0773282259995212)	(6.0, 1.0055063442662198)	(7.0, 1.0613678078365654)	(8.0, 0.7661000718218817)	(9.0, 0.5027531721331099)	('>10', 12.888037666586866)	('>50', 6.727316255685898)	('>100', 25.975580560210677)	('>500', 9.153299816455192)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438076	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438076_1	(1.0, 3.6689156413987742)	(2.0, 1.3317458217577283)	(3.0, 0.8951801384662875)	(4.0, 0.6173656127353706)	(5.0, 0.5291705252017462)	(6.0, 0.36159985888785995)	(7.0, 0.39099822139906804)	(8.0, 0.22342755508518178)	(9.0, 0.2513559994708295)	('>10', 5.637136011524158)	('>50', 4.287751172259705)	('>100', 12.147403389631197)	('>500', 5.488674280842557)	('>1k', 5.3475621407887575)	('>5k', 12.00776116770296)	('>10k+', 46.813952462847816)
SRR8438076_2	(1.0, 11.331598829945172)	(2.0, 1.6051505931119636)	(3.0, 0.8422630859461128)	(4.0, 0.5585688877129543)	(5.0, 0.4336258470403198)	(6.0, 0.43215592891475946)	(7.0, 0.34984051388337667)	(8.0, 0.34102100513001427)	(9.0, 0.19843894695065487)	('>10', 6.025194396672105)	('>50', 4.621422586761917)	('>100', 12.391409798474225)	('>500', 3.3852214431656154)	('>1k', 13.1013802531199)	('>5k', 0.0)	('>10k+', 44.38270788317091)
SRR8438077	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438077_1	(1.0, 6.043282972641895)	(2.0, 1.9327616714305158)	(3.0, 1.1618842570251309)	(4.0, 0.6830246111585434)	(5.0, 0.643428981526164)	(6.0, 0.4677233750324808)	(7.0, 0.4677233750324808)	(8.0, 0.29696722224284494)	(9.0, 0.34522439585730724)	('>10', 7.0133758986351875)	('>50', 5.479045250380489)	('>100', 12.862392813393223)	('>500', 3.168887734016358)	('>1k', 11.970253783238675)	('>5k', 0.0)	('>10k+', 47.464023658388705)
SRR8438077_2	(1.0, 22.542286895083954)	(2.0, 2.1059925510721755)	(3.0, 1.1915809792494154)	(4.0, 0.9008005741366296)	(5.0, 0.5382530903151564)	(6.0, 0.5865102639296188)	(7.0, 0.32913867131915314)	(8.0, 0.36625957409950877)	(9.0, 0.4565871041983741)	('>10', 7.0059517180791175)	('>50', 4.823242634594207)	('>100', 9.817241421978048)	('>500', 4.31839835678137)	('>1k', 4.744051375329448)	('>5k', 11.451798507739708)	('>10k+', 28.821906282094112)
SRR8438078	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438078_1	(1.0, 5.248522362358635)	(2.0, 1.782473123283846)	(3.0, 1.116954437566901)	(4.0, 0.8004840135896123)	(5.0, 0.5817471028994275)	(6.0, 0.5235723926094847)	(7.0, 0.39093405314841534)	(8.0, 0.39093405314841534)	(9.0, 0.21990040489598361)	('>10', 5.758132824498534)	('>50', 4.55275282729092)	('>100', 14.636757108949597)	('>500', 5.0495648531670305)	('>1k', 21.20933587750733)	('>5k', 0.0)	('>10k+', 37.737934565085865)
SRR8438078_2	(1.0, 16.65309256759901)	(2.0, 2.280448643365756)	(3.0, 1.2495927770279702)	(4.0, 0.8749476427607391)	(5.0, 0.5584772187834505)	(6.0, 0.4956485316703123)	(7.0, 0.41536743147019123)	(8.0, 0.40024200679480615)	(9.0, 0.4083864662353981)	('>10', 6.343370410015359)	('>50', 6.474845255270628)	('>100', 15.837483129334014)	('>500', 4.0989900870293665)	('>1k', 10.858891422720715)	('>5k', 0.0)	('>10k+', 33.05021640992228)
SRR8438079	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8438079_1	(1.0, 2.307525482541748)	(2.0, 0.5812188245499892)	(3.0, 0.3903708523096942)	(4.0, 0.18217306441119063)	(5.0, 0.1734981565820863)	(6.0, 0.13662979830839297)	(7.0, 0.18217306441119063)	(8.0, 0.10409889394925179)	(9.0, 0.11711125569290827)	('>10', 3.8657558013446107)	('>50', 2.664281067013663)	('>100', 4.377575363261766)	('>500', 1.5007590544350466)	('>1k', 9.401431359791802)	('>5k', 0.0)	('>10k+', 74.01539796139666)
SRR8438079_2	(1.0, 6.93016699197571)	(2.0, 1.040988939492518)	(3.0, 0.5107351984385166)	(4.0, 0.36000867490782906)	(5.0, 0.27109086965950985)	(6.0, 0.3903708523096942)	(7.0, 0.3188028627195836)	(8.0, 0.2602472348731295)	(9.0, 0.16590761223162004)	('>10', 4.000216872695727)	('>50', 2.668618520928215)	('>100', 5.020602906094123)	('>500', 3.1457384515289526)	('>1k', 9.738668401648233)	('>5k', 0.0)	('>10k+', 65.17783561049664)
SRR8438080	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
