Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,FishID,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR8438064,AMPLICON,501,28534857,PRJNA514914,SAMN10737186,Metagenome or environmental,20540482,NOVA SOUTHEASTERN UNIVERSITY,8/11/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245609,ON69,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Oneirodidae,Illumina MiSeq,skin,26.8909 N 88.5132 W,ON69.SKIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,ON69.SKIN,SRP178885
SRR8438065,AMPLICON,501,54389676,PRJNA514914,SAMN10737187,Metagenome or environmental,38525419,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245608,CC70,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,fin,26.9899 N 89.4684 W,CC70.FIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC70.FIN,SRP178885
SRR8438066,AMPLICON,501,66554564,PRJNA514914,SAMN10737188,Metagenome or environmental,47120726,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245607,CC70,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,gills,26.9899 N 89.4684 W,CC70.GILL,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC70.GILL,SRP178885
SRR8438067,AMPLICON,501,16062738,PRJNA514914,SAMN10737189,Metagenome or environmental,11529125,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245606,CC70,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Guts,26.9899 N 89.4684 W,CC70.GUT,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC70.GUT,SRP178885
SRR8438068,AMPLICON,501,4887370,PRJNA514914,SAMN10737190,Metagenome or environmental,3577220,NOVA SOUTHEASTERN UNIVERSITY,8/14/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245605,CC73,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,Illicium,27.5194 N 88.9960 W,CC73.ILLICIUM,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC73.ILLICIUM,SRP178885
SRR8438069,AMPLICON,500,13243434,PRJNA514914,SAMN10737219,Metagenome or environmental,7330141,NOVA SOUTHEASTERN UNIVERSITY,5/1/15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245604,DP02,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Dolopichthys,Illumina MiSeq,Esca,29.0480 N 87.9900 W,DP02,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,DP02,SRP178885
SRR8438070,AMPLICON,501,42433407,PRJNA514914,SAMN10737191,Metagenome or environmental,30264986,NOVA SOUTHEASTERN UNIVERSITY,8/12/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245601,CC70,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Cryptopsaras couesii,Illumina MiSeq,skin,26.9899 N 89.4684 W,CC70.SKIN,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CC70.SKIN,SRP178885
SRR8438071,AMPLICON,501,49829168,PRJNA514914,SAMN10737218,Metagenome or environmental,33373395,NOVA SOUTHEASTERN UNIVERSITY,5/10/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245603,CU51,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Ceratias uranoscopus,Illumina MiSeq,Esca,28.4987 N 87.5464 W,CU51,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CU51,SRP178885
SRR8438072,AMPLICON,501,66829553,PRJNA514914,SAMN10737217,Metagenome or environmental,44964254,NOVA SOUTHEASTERN UNIVERSITY,5/6/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245602,CU44,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Ceratias uranoscopus,Illumina MiSeq,Illicium,27.4912 N 86.9618 W,CU44.ILL,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,CU44.ILL,SRP178885
SRR8438073,AMPLICON,501,41586578,PRJNA514914,SAMN10737223,Metagenome or environmental,27428610,NOVA SOUTHEASTERN UNIVERSITY,8/15/16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5245632,ON76,uncalculated,uncalculated,Atlantic Ocean: Gulf of Mexico,Oneirodidae,Illumina MiSeq,gills,27.4932 N 87.9728 W,ON76.GILLS,PAIRED,PCR,GENOMIC,fish metagenome,ILLUMINA,2019-08-31T00:00:00Z,2019-01-13T16:31:00Z,1,MOCNESS,ON76.GILLS,SRP178885
